scenario,n_seeds,n_blocks_used,running_mean_RE_delay_pct,SE_pct,ci95_halfwidth_pct,enough_data,tol_pass,drift_pass,trend_pass,overall_pass
"S2 (weak UAV-HAP link, kappa=1.0)",190,19,2.783011519980977,0.08840084136902739,0.17326564908329367,True,False,True,False,False
"S2 (weak UAV-HAP link, kappa=1.0)",200,20,2.8022270661089617,0.08603763764930708,0.16863376979264189,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",210,21,2.8405136568086555,0.09035120636628907,0.17708836447792659,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",220,22,2.88635948396789,0.09758615935092067,0.1912688723278045,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",230,23,2.8757842459238563,0.09384456357906813,0.18393534461497354,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",240,24,2.8790456449931283,0.08990850160648135,0.17622066314870344,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",250,25,2.8823577469540673,0.08630078555628856,0.1691495396903256,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",260,26,2.8815454013926693,0.08291909208593949,0.1625214204884414,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",270,27,2.873735393784812,0.0801702571885822,0.1571337040896211,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",280,28,2.8625765185752274,0.07805574872811256,0.15298926750710062,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",290,29,2.8491775425113945,0.07649866840939001,0.14993739008240442,True,False,True,False,False
"S2 (weak UAV-HAP link, kappa=1.0)",300,30,2.8566312017733875,0.0742796532497945,0.14558812036959723,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",310,31,2.8650285356242304,0.0723326793165105,0.14177205146036057,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",320,32,2.8898308099415164,0.07429783494386606,0.14562375648997747,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",330,33,2.8798241609379622,0.07270313369074144,0.14249814203385322,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",340,34,2.8756172791741244,0.07065774754415687,0.13848918518654746,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",350,35,2.8609041484966244,0.07016912996592427,0.13753149473321155,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",360,36,2.8704477497680836,0.06885671977902365,0.13495917076688635,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",370,37,2.8633279504372657,0.06734727710307821,0.1320006631220333,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",380,38,2.87849003396796,0.06728168983750794,0.13187211208151556,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",390,39,2.889317056117582,0.06642217463953688,0.1301874622934923,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",400,40,2.8926208252457437,0.06482457026548713,0.12705615772035478,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",410,41,2.881445520211223,0.06420378315752838,0.12583941498875562,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",420,42,2.866472933147233,0.06442059012234781,0.1262643566398017,True,False,True,False,False
"S2 (weak UAV-HAP link, kappa=1.0)",430,43,2.8571578681835885,0.06359055773426876,0.12463749315916678,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",440,44,2.872989440374998,0.06411388681273729,0.12566321815296508,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",450,45,2.8851391041940815,0.06383973608052913,0.1251258827178371,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",460,46,2.8980549789661008,0.0637584155564563,0.12496649449065433,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",470,47,2.9018029926886864,0.062499589354358176,0.12249919513454202,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",480,48,2.897789010351721,0.061315189356068764,0.12017777113789478,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",490,49,2.9092860185854286,0.061141495924298093,0.11983733201162426,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",500,50,2.915513453458968,0.060228997733738646,0.11804883555812774,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",510,51,2.92048594079226,0.05924526677160837,0.11612072287235241,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",520,52,2.92427667147558,0.05821830649438444,0.1141078807289935,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",530,53,2.923118944787182,0.05712101838851636,0.11195719604149207,True,False,True,False,False
"S2 (weak UAV-HAP link, kappa=1.0)",540,54,2.9131524771379693,0.05693238425410723,0.11158747313805017,True,False,True,False,False
"S2 (weak UAV-HAP link, kappa=1.0)",550,55,2.912637267571539,0.05589003931793077,0.1095444770631443,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",560,56,2.912834330408077,0.05488328287935849,0.10757123444354263,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",570,57,2.9120876469327577,0.05391699114460207,0.10567730264342005,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",580,58,2.9128071810978415,0.052984118735602964,0.10384887272178181,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",590,59,2.9009817585389883,0.05340406514707889,0.10467196768827462,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",600,60,2.899794172395085,0.052519882545643506,0.10293896978946127,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",610,61,2.8999132321140935,0.05165186273791819,0.10123765096631965,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",620,62,2.8937690191102554,0.05118207211496782,0.10031686134533693,True,False,True,True,False
