alpha,W1_U_s,W2_U_s,W3_U_s,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,rho_U_reference_line
0.20829145728643217,0.07195209479656359,0.08180619425129804,0.12423885535578982,0.20540174291877916,0.32940130863567885,0.6019099496183253,0.36136992601552587,0.1802025018388388,1.254570833497439
0.2128140703517588,0.07279422693084378,0.08282883234054822,0.12617970169163795,0.20667641167053724,0.3312890199598848,0.605580942424085,0.3634461017794197,0.1802025018388388,1.2818112134768769
0.2173366834170854,0.07365123180029602,0.08387078240987858,0.12816678530229392,0.20797095197551846,0.3332060409002731,0.6093181677768569,0.3655462718699588,0.1802025018388388,1.3090515934563143
0.22185929648241204,0.07452346172579344,0.08493253420567534,0.13020159942356907,0.2092858033151303,0.3351530355242987,0.6131234675545897,0.36767085465770805,0.1802025018388388,1.3362919734357521
0.22638190954773868,0.07541127952387301,0.086014593111186,0.13228569857660444,0.21062141770462472,0.33713068761263915,0.6169987530732846,0.36982027829649944,0.1802025018388388,1.36353235341519
0.23090452261306532,0.07631505888421504,0.08711748074999034,0.13442070163620162,0.2119782601305048,0.33913970138251953,0.6209460083950339,0.37199498101108197,0.1802025018388388,1.3907727333946276
0.23542713567839196,0.07723518476305744,0.08824173561684104,0.13660829508131422,0.21335680900599246,0.34118080224266073,0.6249672938267276,0.37419541139497925,0.1802025018388388,1.4180131133740654
0.2399497487437186,0.07817205379331976,0.08938791373730426,0.13885023644026184,0.21475755664542212,0.34325473758145864,0.6290647496223445,0.37642202871898234,0.1802025018388388,1.4452534933535033
0.24447236180904525,0.07912607471225197,0.09055658935771299,0.14114835794421476,0.21618100975846677,0.3453622775900923,0.6332405999027473,0.3786753032507222,0.1802025018388388,1.4724938733329411
0.24899497487437183,0.08009766880746988,0.09174835566703793,0.1435045704035759,0.2176276899651568,0.3475042161223615,0.6374971568079969,0.3809557165857884,0.1802025018388388,1.4997342533123785
0.2535175879396985,0.08108727038228633,0.09296382555237565,0.14592086732306353,0.21909813433270187,0.34968137159315643,0.641836824898399,0.3832637619908858,0.1802025018388388,1.5269746332918164
0.2580402010050251,0.08209532724129763,0.09420363238985649,0.1483993292725742,0.22059289593518283,0.35189458791757655,0.6462621058217882,0.38559994475954007,0.1802025018388388,1.5542150132712542
0.26256281407035176,0.08312230119723955,0.09546843087288562,0.15094212853230832,0.22211254443724,0.3541447354928362,0.6507756032659834,0.3879647825808933,0.1802025018388388,1.581455393250692
0.2670854271356784,0.0841686686001849,0.09675889787974518,0.1535515340321666,0.2236576667029479,0.3564327122252208,0.6553800282168918,0.39035880592215344,0.1802025018388388,1.6086957732301297
0.27160804020100504,0.08523492089021438,0.09807573338271416,0.15622991660709334,0.22522886743113124,0.3587594446044976,0.6600782045444341,0.3927825584252921,0.1802025018388388,1.6359361532095675
0.2761306532663316,0.08632156517475911,0.09941966140099123,0.1589797545918732,0.226826769818451,0.3611258888283247,0.664873074940314,0.3952365973186122,0.1802025018388388,1.6631765331890052
0.28065326633165827,0.08742912483188187,0.1007914309998556,0.16180363978088796,0.22845201625166345,0.3635330319793685,0.6697677072336876,0.3977214938438428,0.1802025018388388,1.6904169131684428
0.2851758793969849,0.08855814014083639,0.1021918173386461,0.1647042837805328,0.2301052690305352,0.36598189325799335,0.6747653011130011,0.4002378336994453,0.1802025018388388,1.7176572931478806
0.28969849246231155,0.08970916894132563,0.10362162277031028,0.1676845247844021,0.23178721112298512,0.36847352527357896,0.6798691952847133,0.40278621750085675,0.1802025018388388,1.7448976731273185
0.2942211055276382,0.09088278732295958,0.1050816779954439,0.17074733480399334,0.23349854695411293,0.37100901539770026,0.6850828751022799,0.40536726125842715,0.1802025018388388,1.7721380531067563
0.29874371859296484,0.09207959034650584,0.10657284327393474,0.1738958273905904,0.23524000323087274,0.37358948718261825,0.6904099807017313,0.40798159687385227,0.1802025018388388,1.7993784330861942
0.3032663316582914,0.0933001927986186,0.1080960096975214,0.17713326588717865,0.2370123298042538,0.37621610184874144,0.6958543156833926,0.41062987265594,0.1802025018388388,1.8266188130656316
0.30778894472361806,0.09454522998183532,0.10965210052679925,0.18046307225277425,0.2388163005709405,0.37889005984495927,0.7014198563828682,0.41331275385659594,0.1802025018388388,1.8538591930450694
0.3123115577889447,0.09581535854173533,0.11124207259643012,0.18388883650542237,0.24065271441654096,0.3816126024859911,0.7071107617783182,0.41603092322795826,0.1802025018388388,1.881099573024507
0.31683417085427135,0.09711125733327458,0.1128669177925713,0.18741432683442083,0.24252239620260208,0.38438501367117595,0.712931384085404,0.41878508160166306,0.1802025018388388,1.9083399530039449
0.321356783919598,0.09843362832842921,0.11452766460679595,0.19104350043704316,0.24442619779975827,0.38720862168940373,0.7188862800960326,0.42157594849127056,0.1802025018388388,1.9355803329833827
0.3258793969849246,0.09978319756741683,0.11622537977107406,0.1947805151402905,0.24636499916951077,0.39008480111521165,0.7249802233223396,0.42440426271894216,0.1802025018388388,1.9628207129628201
0.3304020100502512,0.10116071615590148,0.11796116997868586,0.19862974187398547,0.248339709497281,0.3930149748013946,0.7312182170131768,0.42727078306751276,0.1802025018388388,1.990061092942258
0.33492462311557786,0.10256696131074272,0.11973618369627503,0.20259577806796436,0.25035126837955074,0.39600061597384073,0.7376055081168696,0.4301762889591696,0.1802025018388388,2.017301472921696
0.3394472361809045,0.10400273745700649,0.1215516130726065,0.20668346205324678,0.2524006470680727,0.39904325043468863,0.7441476022711849,0.43312158116200894,0.1802025018388388,2.044541852901134
0.34396984924623114,0.10546887737913269,0.12340869594997939,0.21089788855500036,0.2544888497743267,0.402144458880317,0.7508502799094495,0.4361074825258222,0.1802025018388388,2.0717822328805715
0.3484924623115578,0.10696624342933451,0.12530871798466056,0.21524442537392713,0.25661691503759126,0.4053058793411238,0.7577196135806274,0.43913483874852355,0.1802025018388388,2.099022612860009
0.3530150753768844,0.10849572879650714,0.12725301488315363,0.21972873136253407,0.2587859171602229,0.40852920975053486,0.7647619865910704,0.44220451917472686,0.1802025018388388,2.126262992839447
0.357537688442211,0.11005825883913237,0.12924297476159996,0.22435677581369118,0.260996967713957,0.41181621065119883,0.7719841130866628,0.4453174176280492,0.1802025018388388,2.153503372818885
0.36206030150753765,0.11165479248589545,0.13128004063613233,0.2291348593911285,0.2632512171212971,0.4151687080468853,0.7793930597064084,0.4484744532788191,0.1802025018388388,2.1807437527983224
0.3665829145728643,0.11328632370797584,0.13336571305256384,0.23406963674519754,0.265549856316323,0.4185885964092078,0.7869962689522594,0.45167657154895746,0.1802025018388388,2.20798413277776
0.37110552763819094,0.11495388306723249,0.13550155286440527,0.23916814097253775,0.2678941184895263,0.42207784184894265,0.7948015844353864,0.45492474505590164,0.1802025018388388,2.235224512757198
0.3756281407035176,0.11665853934479106,0.13768918416886244,0.24443781009547483,0.2702852809215958,0.42563848546242167,0.8028172781763672,0.45821997459755404,0.1802025018388388,2.2624648927366358
0.3801507537688442,0.11840140125483944,0.13993029741117896,0.24988651575625476,0.27272466691139324,0.4292726468642362,0.8110520801561432,0.46156329018034936,0.1802025018388388,2.289705272716074
0.3846733668341708,0.12018361924876696,0.14222665266846243,0.25552259434291685,0.2752136478037186,0.4329825279183154,0.8195152103363966,0.46495575209265894,0.1802025018388388,2.316945652695511
0.38919597989949745,0.12200638741513123,0.14458008312496734,0.2613548807880314,0.2777536451228379,0.43677041668033034,0.8282164133925313,0.46839845202588315,0.1802025018388388,2.3441860326749486
0.3937185929648241,0.12387094548131544,0.14699249875171855,0.2673927453090893,0.28034613281815474,0.44063869156534685,0.8371659964301198,0.4718925142457199,0.1802025018388388,2.3714264126543867
0.39824120603015073,0.12577858092314473,0.14946589020434103,0.2736461333904632,0.28299263962884474,0.4445898257556908,0.8463748699869366,0.4754390968162513,0.1802025018388388,2.3986667926338243
0.40276381909547737,0.12773063118916955,0.15200233295403284,0.280125609342096,0.2856947515747438,0.448626391865131,0.8558545926580662,0.4790393928796475,0.1802025018388388,2.4259071726132624
0.407286432160804,0.12972848604679402,0.154603991667778,0.2868424038100099,0.2884541145812867,0.45275106687671307,0.865617419721654,0.48269463199445606,0.1802025018388388,2.4531475525927
0.41180904522613065,0.13177359005794131,0.1572731248551628,0.2938084656590951,0.2912724372468463,0.4569666373729225,0.8756763561883883,0.48640608153563514,0.1802025018388388,2.4803879325721376
0.41633165829145724,0.13386744519249336,0.16001208980052795,0.3010365187002203,0.29415149376140637,0.46127600507830363,0.8860452147495456,0.49017504815967355,0.1802025018388388,2.5076283125515753
0.4208542713567839,0.1360116135883409,0.16282334780069194,0.30854012379252665,0.2970931269861471,0.465682192736254,0.8967386791574247,0.49400287933836085,0.1802025018388388,2.534868692531013
0.4253768844221105,0.13820772046751967,0.16570946973010578,0.31633374691889965,0.300099251704206,0.4701883503434281,0.9077723736393182,0.49789096496498547,0.1802025018388388,2.562109072510451
