scenario,block_idx,n_seeds_in_block,block_mean_RE_delay_pct,block_std_RE_delay_pct
"S2 (weak UAV-HAP link, kappa=1.0)",47,10,2.709131840514327,1.0217025653688196
"S2 (weak UAV-HAP link, kappa=1.0)",48,10,3.4611424138033633,1.4134135629008633
"S2 (weak UAV-HAP link, kappa=1.0)",49,10,3.2206577622623924,1.85734825954873
"S2 (weak UAV-HAP link, kappa=1.0)",50,10,3.1691103074568496,1.5956472289111971
"S2 (weak UAV-HAP link, kappa=1.0)",51,10,3.1176039363249206,2.0936158783271392
"S2 (weak UAV-HAP link, kappa=1.0)",52,10,2.86291715699048,0.947664301716455
"S2 (weak UAV-HAP link, kappa=1.0)",53,10,2.384929691729692,1.1035729112657333
"S2 (weak UAV-HAP link, kappa=1.0)",54,10,2.8848159509842803,0.9957789117127427
"S2 (weak UAV-HAP link, kappa=1.0)",55,10,2.9236727864177343,1.9664571770704153
"S2 (weak UAV-HAP link, kappa=1.0)",56,10,2.8702733723148577,1.3911798726545126
"S2 (weak UAV-HAP link, kappa=1.0)",57,10,2.953820628507633,1.1355271533894538
"S2 (weak UAV-HAP link, kappa=1.0)",58,10,2.215107250125512,0.9216217768971576
"S2 (weak UAV-HAP link, kappa=1.0)",59,10,2.829726589904795,1.1688340413537104
"S2 (weak UAV-HAP link, kappa=1.0)",60,10,2.907056815254603,0.5638466700307272
"S2 (weak UAV-HAP link, kappa=1.0)",61,10,2.5189720258761343,0.9973322131481003
"S2 (weak UAV-HAP link, kappa=1.0)",62,10,3.1046155814217498,2.0621740498981302
"S2 (weak UAV-HAP link, kappa=1.0)",63,10,2.5645579612523424,1.1263545746776937
"S2 (weak UAV-HAP link, kappa=1.0)",64,10,2.262682675227525,0.7927139682487003
"S2 (weak UAV-HAP link, kappa=1.0)",65,10,2.7057900206815164,1.1562059469709192
"S2 (weak UAV-HAP link, kappa=1.0)",66,10,3.2880616066165382,1.3484382290418193
"S2 (weak UAV-HAP link, kappa=1.0)",67,10,3.1488546155206754,1.1793584610255052
"S2 (weak UAV-HAP link, kappa=1.0)",68,10,2.329383650231676,0.8504349820305863
"S2 (weak UAV-HAP link, kappa=1.0)",69,10,2.6984031731295675,1.5902044336303747
"S2 (weak UAV-HAP link, kappa=1.0)",70,10,2.5231832188449057,1.4156540967692322
"S2 (weak UAV-HAP link, kappa=1.0)",71,10,2.9091807699536396,1.2121880649863541
"S2 (weak UAV-HAP link, kappa=1.0)",72,10,2.6393089367564664,0.8795594254113969
"S2 (weak UAV-HAP link, kappa=1.0)",73,10,2.3814954225438028,0.9388473747489563
"S2 (weak UAV-HAP link, kappa=1.0)",74,10,2.158987825222284,1.0790709860829488
"S2 (weak UAV-HAP link, kappa=1.0)",75,10,3.442425559489254,0.9286615702965809
"S2 (weak UAV-HAP link, kappa=1.0)",76,10,3.636927197310314,1.7667909112102678
"S2 (weak UAV-HAP link, kappa=1.0)",77,10,2.3903320472227243,1.0274254278439916
"S2 (weak UAV-HAP link, kappa=1.0)",78,10,3.1240944289806096,1.318420305823913
"S2 (weak UAV-HAP link, kappa=1.0)",79,10,2.2523507974095955,1.1439127089928172
"S2 (weak UAV-HAP link, kappa=1.0)",80,10,2.646323816317607,1.6169389253355946
"S2 (weak UAV-HAP link, kappa=1.0)",81,10,2.7981880519979354,1.171322823195277
"S2 (weak UAV-HAP link, kappa=1.0)",82,10,1.7679905802423526,0.6666410781114324
"S2 (weak UAV-HAP link, kappa=1.0)",83,10,2.4345834717679793,0.769121285221446
"S2 (weak UAV-HAP link, kappa=1.0)",84,10,2.723552718401002,1.1037969547038045
"S2 (weak UAV-HAP link, kappa=1.0)",85,10,2.4420820790084456,0.7202681767742442
"S2 (weak UAV-HAP link, kappa=1.0)",86,10,3.4073026193407485,1.3040956523357876
"S2 (weak UAV-HAP link, kappa=1.0)",87,10,3.00727005672427,1.1889361445261757
"S2 (weak UAV-HAP link, kappa=1.0)",88,10,3.4220529699717646,1.8198364198478743
"S2 (weak UAV-HAP link, kappa=1.0)",89,10,2.76933435532066,1.0027104542486336
"S2 (weak UAV-HAP link, kappa=1.0)",90,10,2.3722380402215597,1.215599358701404
"S2 (weak UAV-HAP link, kappa=1.0)",91,10,3.1642773810288545,1.8828343285107751
"S2 (weak UAV-HAP link, kappa=1.0)",92,10,3.2233493522202545,1.057103424992663
"S2 (weak UAV-HAP link, kappa=1.0)",93,10,3.271336465406376,0.961780770313515
"S2 (weak UAV-HAP link, kappa=1.0)",94,10,2.309071587239183,1.195038084871056
"S2 (weak UAV-HAP link, kappa=1.0)",95,10,3.0464364855804575,1.205769288856399
"S2 (weak UAV-HAP link, kappa=1.0)",96,10,2.4621066124428763,1.2801339927981845
"S2 (weak UAV-HAP link, kappa=1.0)",97,10,2.6214316409081997,1.0942494705161594
