kappa,policy,feasible,alpha,B_UH_MHz,a1,a2,a3,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,CSPR,GDI,AGDI,PAoI1_s,PAoI2_s,PAoI3_s,AoI_avg1_sim_s,n_seeds_valid
5.0,P3,True,0.35,1.2,1.0,1.0,0.5,0.27620512846733797,0.47983515838152085,1.4399451880937737,0.7521717034089015,0.7508437576618281,1.0,0.5921862602406064,1.8283700925273516,0.7762051284673379,0.8131684917148542,1.9399451880937737,0.7854561919554062,1000
5.5,P1,False,,,,,,,,,,,,,,,,,,0
5.5,P2,False,,,,,,,,,,,,,,,,,,0
5.5,P3,True,0.35,1.2,1.0,1.0,0.5,0.2965319667344277,0.5331758458019301,2.1609862414766203,0.8273888737497916,0.8259281334280109,1.0,0.5068500255443044,1.5930606107951872,0.7510774212798823,0.8362061488322332,2.615531696022075,0.7587121263205311,1000
6.0,P1,False,,,,,,,,,,,,,,,,,,0
6.0,P2,False,,,,,,,,,,,,,,,,,,0
6.0,P3,True,0.35,1.2,1.0,1.0,0.25,0.23960196298009176,0.45313047444250804,1.1027868971618267,0.6769545330680113,0.6757593818956453,1.0,0.6321292525093731,2.0767322583611967,0.6562686296467584,0.7309082522202859,1.93612023049516,0.6608837170886978,1000
6.5,P1,False,,,,,,,,,,,,,,,,,,0
6.5,P2,False,,,,,,,,,,,,,,,,,,0
6.5,P3,True,0.35,1.2,1.0,1.0,0.25,0.253428939529822,0.499639254528753,1.399429922130118,0.733367410823679,0.7320726637202823,1.0,0.5837282887368963,1.9233780759887564,0.6380443241452065,0.7560495109390095,2.1686606913608872,0.6418155525510426,1000
7.0,P1,False,,,,,,,,,,,,,,,,,,0
7.0,P2,False,,,,,,,,,,,,,,,,,,0
7.0,P3,True,0.35,1.2,1.0,1.0,0.25,0.2675549903292907,0.5541518285190987,1.88333610461186,0.7897802885793466,0.7883859455449196,1.0,0.5262734485215422,1.7458434222579642,0.6246978474721478,0.7922470666143369,2.597621818897574,0.6275351565620645,1000
7.1,P1,False,,,,,,,,,,,,,,,,,,0
7.1,P2,False,,,,,,,,,,,,,,,,,,0
7.1,P3,True,0.35,1.2,1.0,1.0,0.25,0.2704169451465337,0.5661868140537042,2.0171854936172258,0.80106286413048,0.7996486019098469,1.0,0.5132697832871452,1.708092938624813,0.6225296212028717,0.8009285980912628,2.7214108457299018,0.6251294983311255,1000
7.2,P1,False,,,,,,,,,,,,,,,,,,0
7.2,P2,False,,,,,,,,,,,,,,,,,,0
7.2,P3,True,0.35,1.2,1.0,1.0,0.25,0.273291334437083,0.5786429567736017,2.16873797408687,0.8123454396816137,0.8109112582747744,1.0,0.49961677519605724,1.6700193162958252,0.6205135566593052,0.8101244382550832,2.863182418531314,0.6229339649504677,1000
7.3,P1,False,,,,,,,,,,,,,,,,,,0
7.3,P2,False,,,,,,,,,,,,,,,,,,0
7.3,P3,True,0.35,1.2,1.0,1.0,0.25,0.2761782394144333,0.5915414660616672,2.341461934898504,0.8236280152327471,0.8221739146397018,1.0,0.48522434532212216,1.6320034083997623,0.6186439928390908,0.8198519683447723,3.0263934417478193,0.620814335159632,1000
7.4,P1,False,,,,,,,,,,,,,,,,,,0
7.4,P2,False,,,,,,,,,,,,,,,,,,0
7.4,P3,True,0.35,1.2,1.0,1.0,0.25,0.27907774200086455,0.6049049888573719,2.539774800848873,0.8349105907838807,0.8334365710046292,1.0,0.47087536463288815,1.594944108155468,0.6169155798387023,0.830130214082597,3.2154504765245484,0.6187491187805934,1000
7.5,P1,False,,,,,,,,,,,,,,,,,,0
7.5,P2,False,,,,,,,,,,,,,,,,,,0
7.5,P3,True,0.35,1.2,1.0,1.0,0.25,0.28198992483519125,0.618757733430126,2.7693895181457497,0.8461931663350142,0.8446992273695566,1.0,0.4598047123821856,1.5592453926554757,0.6153232581685246,0.8409799556523482,3.4360561848124163,0.6170194748386935,1000
