p_LoS,kappa,p1_feasible,p3_feasible,alpha,B_UH_MHz,a1,a2,a3,rho_U,rho_H,AWSS_soft_P1,AWSS_soft_P3,AWSS_gain_abs,AWSS_gain_pct,self_throttling_active
0.2545454545454545,3.75,False,True,0.35,1.0,1.0,1.0,0.5,0.6769545330680113,0.6193387015145881,,1.687247950541921,,,True
0.3318181818181818,3.75,False,True,0.35,1.0,1.0,1.0,0.75,0.8461931663350142,0.7375643003932688,,1.2833253896001207,,,True
0.40909090909090906,3.75,False,True,0.35,1.0,1.0,1.0,0.75,0.8461931663350142,0.7009552238933026,,1.3998210428866191,,,True
0.48636363636363633,3.75,False,True,0.35,1.0,1.0,1.0,0.75,0.8461931663350142,0.6643461473933365,,1.5142759914381139,,,True
0.5636363636363636,3.75,False,True,0.35,1.0,1.0,1.0,0.75,0.8461931663350142,0.6277370708933703,,1.62659446487397,,,True
0.6409090909090909,3.75,False,True,0.35,1.2,1.0,1.0,0.75,0.7051609719458451,0.7389099929917551,,1.7681640853865985,,,True
0.7181818181818181,3.75,False,True,0.35,1.2,1.0,1.0,1.0,0.8461931663350142,0.8317783768401567,,1.4864164357863459,,,False
0.7954545454545454,3.75,False,True,0.35,1.2,1.0,1.0,1.0,0.8461931663350142,0.7768647620902074,,1.741344654372116,,,False
0.8727272727272727,3.75,False,True,0.35,1.2,1.0,1.0,1.0,0.8461931663350142,0.7219511473402582,,1.9822455915712243,,,False
0.95,3.75,False,True,0.35,1.2,1.0,1.0,1.0,0.8461931663350142,0.6670375325903088,,2.2094434790386273,,,False
0.1,4.0,False,True,0.35,1.0,1.0,1.0,0.5,0.7220848352725455,0.7231074388421697,,1.3711177829663792,,,True
0.17727272727272728,4.0,False,True,0.35,1.0,1.0,1.0,0.5,0.7220848352725455,0.6918676935621986,,1.47837017976404,,,True
0.2545454545454545,4.0,False,True,0.35,1.0,1.0,1.0,0.5,0.7220848352725455,0.6606279482822274,,1.5831163889752966,,,True
0.3318181818181818,4.0,False,True,0.35,1.0,1.0,1.0,0.5,0.7220848352725455,0.6293882030022561,,1.6855216549666843,,,True
0.40909090909090906,4.0,False,True,0.35,1.0,1.0,1.0,0.5,0.7220848352725455,0.5981484577222849,,1.7858013627820157,,,True
0.48636363636363633,4.0,False,True,0.35,1.0,1.0,1.0,0.5,0.7220848352725455,0.5669087124423138,,1.884169880897953,,,True
0.5636363636363636,4.0,False,True,0.35,1.2,1.0,1.0,0.75,0.7521717034089015,0.8369827611911604,,1.3863659378873388,,,True
0.6409090909090909,4.0,False,True,0.35,1.2,1.0,1.0,0.75,0.7521717034089015,0.7881706591912055,,1.6223891699707453,,,True
0.7181818181818181,4.0,False,True,0.35,1.2,1.0,1.0,0.75,0.7521717034089015,0.7393585571912504,,1.8475901226960365,,,True
0.7954545454545454,4.0,False,True,0.35,1.2,1.0,1.0,1.0,0.9026060440906818,0.8286557462295547,,1.5425696639415156,,,False
0.8727272727272727,4.0,False,True,0.35,1.2,1.0,1.0,1.0,0.9026060440906818,0.7700812238296089,,1.762310068245514,,,False
0.95,4.0,False,True,0.35,1.2,1.0,1.0,1.0,0.9026060440906818,0.7115067014296628,,1.9882276755647992,,,False
0.1,4.25,False,True,0.35,1.0,1.0,1.0,0.5,0.7672151374770795,0.7683016537698053,,1.2356714840046286,,,True
0.17727272727272728,4.25,False,True,0.35,1.0,1.0,1.0,0.5,0.7672151374770795,0.735109424409836,,1.3507415409321615,,,True
0.2545454545454545,4.25,False,True,0.35,1.0,1.0,1.0,0.5,0.7672151374770795,0.7019171950498666,,1.4634213681848331,,,True
0.3318181818181818,4.25,False,True,0.35,1.0,1.0,1.0,0.5,0.7672151374770795,0.668724965689897,,1.5734588153628035,,,True
0.40909090909090906,4.25,False,True,0.35,1.0,1.0,1.0,0.5,0.7672151374770795,0.6355327363299277,,1.6809573537834233,,,True
0.48636363636363633,4.25,False,True,0.35,1.0,1.0,1.0,0.5,0.7672151374770795,0.6023405069699583,,1.7861279269083006,,,True
0.5636363636363636,4.25,False,True,0.35,1.0,1.0,1.0,0.5,0.7672151374770795,0.5691482776099891,,1.8891985498722894,,,True
0.6409090909090909,4.25,False,True,0.35,1.2,1.0,1.0,0.75,0.7991824348719578,0.8374313253906558,,1.4584231694413514,,,True
0.7181818181818181,4.25,False,True,0.35,1.2,1.0,1.0,0.75,0.7991824348719578,0.7855684670157037,,1.702401309401804,,,True
0.7954545454545454,4.25,False,True,0.35,1.2,1.0,1.0,0.75,0.7991824348719578,0.7337056086407515,,1.9347314168235652,,,True
0.8727272727272727,4.25,False,True,0.35,1.2,1.0,1.0,0.75,0.7991824348719578,0.6818427502657995,,2.154146976069111,,,True
0.95,4.25,False,True,0.35,1.2,1.0,1.0,0.75,0.7991824348719578,0.6299798918908472,,2.363294157283779,,,True
